Variables="x","y","T"

0.000000, 0.200000, 100.000000
0.025641, 0.200000, 100.000000
0.051282, 0.200000, 100.000000
0.076923, 0.200000, 100.000000
0.102564, 0.200000, 100.000000
0.128205, 0.200000, 100.000000
0.153846, 0.200000, 100.000000
0.179487, 0.200000, 100.000000
0.205128, 0.200000, 100.000000
0.230769, 0.200000, 100.000000
0.256410, 0.200000, 100.000000
0.282051, 0.200000, 100.000000
0.307692, 0.200000, 100.000000
0.333333, 0.200000, 100.000000
0.358974, 0.200000, 100.000000
0.384615, 0.200000, 100.000000
0.410256, 0.200000, 100.000000
0.435897, 0.200000, 100.000000
0.461538, 0.200000, 100.000000
0.487179, 0.200000, 100.000000
0.512821, 0.200000, 100.000000
0.538462, 0.200000, 100.000000
0.564103, 0.200000, 100.000000
0.589744, 0.200000, 100.000000
0.615385, 0.200000, 100.000000
0.641026, 0.200000, 100.000000
0.666667, 0.200000, 100.000000
0.692308, 0.200000, 100.000000
0.717949, 0.200000, 100.000000
0.743590, 0.200000, 100.000000
0.769231, 0.200000, 100.000000
0.794872, 0.200000, 100.000000
0.820513, 0.200000, 100.000000
0.846154, 0.200000, 100.000000
0.871795, 0.200000, 100.000000
0.897436, 0.200000, 100.000000
0.923077, 0.200000, 100.000000
0.948718, 0.200000, 100.000000
0.974359, 0.200000, 100.000000
1.000000, 0.200000, 100.000000
1.025641, 0.200000, 0.000000
1.051282, 0.200000, 11.890243
1.076923, 0.200000, 21.732271
1.102564, 0.200000, 29.911300
1.128205, 0.200000, 36.733681
1.153846, 0.200000, 42.443715
1.179487, 0.200000, 47.236748
1.205128, 0.200000, 51.269382
1.230769, 0.200000, 54.667455
1.256410, 0.200000, 57.532282
0.000000, 0.195918, 0.000000
0.025641, 0.195918, 11.890243
0.051282, 0.195918, 21.732271
0.076923, 0.195918, 29.911300
0.102564, 0.195918, 36.733681
0.128205, 0.195918, 42.443715
0.153846, 0.195918, 47.236748
0.179487, 0.195918, 51.269382
0.205128, 0.195918, 54.667455
0.230769, 0.195918, 57.532282
0.256410, 0.195918, 59.945553
0.282051, 0.195918, 61.973165
0.307692, 0.195918, 63.668248
0.333333, 0.195918, 65.073522
0.358974, 0.195918, 66.223153
0.384615, 0.195918, 67.144204
0.410256, 0.195918, 67.857748
0.435897, 0.195918, 68.379725
0.461538, 0.195918, 68.721574
0.487179, 0.195918, 68.890687
0.512821, 0.195918, 68.890687
0.538462, 0.195918, 68.721574
0.564103, 0.195918, 68.379725
0.589744, 0.195918, 67.857748
0.615385, 0.195918, 67.144204
0.641026, 0.195918, 66.223153
0.666667, 0.195918, 65.073522
0.692308, 0.195918, 63.668248
0.717949, 0.195918, 61.973165
0.743590, 0.195918, 59.945553
0.769231, 0.195918, 57.532282
0.794872, 0.195918, 54.667455
0.820513, 0.195918, 51.269382
0.846154, 0.195918, 47.236748
0.871795, 0.195918, 42.443715
0.897436, 0.195918, 36.733681
0.923077, 0.195918, 29.911300
0.948718, 0.195918, 21.732271
0.974359, 0.195918, 11.890243
1.000000, 0.195918, 0.000000
1.025641, 0.195918, 0.000000
1.051282, 0.195918, 4.611590
1.076923, 0.195918, 9.093378
1.102564, 0.195918, 13.361607
1.128205, 0.195918, 17.365225
1.153846, 0.195918, 21.076117
1.179487, 0.195918, 24.481989
1.205128, 0.195918, 27.581193
1.230769, 0.195918, 30.378996
1.256410, 0.195918, 32.884903
0.000000, 0.191837, 0.000000
0.025641, 0.191837, 4.611590
0.051282, 0.191837, 9.093378
0.076923, 0.191837, 13.361607
0.102564, 0.191837, 17.365225
0.128205, 0.191837, 21.076117
0.153846, 0.191837, 24.481989
0.179487, 0.191837, 27.581193
0.205128, 0.191837, 30.378996
0.230769, 0.191837, 32.884903
0.256410, 0.191837, 35.110748
0.282051, 0.191837, 37.069351
0.307692, 0.191837, 38.773586
0.333333, 0.191837, 40.235735
0.358974, 0.191837, 41.467057
0.384615, 0.191837, 42.477503
0.410256, 0.191837, 43.275533
0.435897, 0.191837, 43.868000
0.461538, 0.191837, 44.260086
0.487179, 0.191837, 44.455259
0.512821, 0.191837, 44.455259
0.538462, 0.191837, 44.260086
0.564103, 0.191837, 43.868000
0.589744, 0.191837, 43.275533
0.615385, 0.191837, 42.477503
0.641026, 0.191837, 41.467057
0.666667, 0.191837, 40.235735
0.692308, 0.191837, 38.773586
0.717949, 0.191837, 37.069351
0.743590, 0.191837, 35.110748
0.769231, 0.191837, 32.884903
0.794872, 0.191837, 30.378996
0.820513, 0.191837, 27.581193
0.846154, 0.191837, 24.481989
0.871795, 0.191837, 21.076117
0.897436, 0.191837, 17.365225
0.923077, 0.191837, 13.361607
0.948718, 0.191837, 9.093378
0.974359, 0.191837, 4.611590
1.000000, 0.191837, 0.000000
1.025641, 0.191837, 0.000000
1.051282, 0.191837, 2.455432
1.076923, 0.191837, 4.882407
1.102564, 0.191837, 7.254607
1.128205, 0.191837, 9.548934
1.153846, 0.191837, 11.745901
1.179487, 0.191837, 13.829614
1.205128, 0.191837, 15.787515
1.230769, 0.191837, 17.609994
1.256410, 0.191837, 19.289959
0.000000, 0.187755, 0.000000
0.025641, 0.187755, 2.455432
0.051282, 0.187755, 4.882407
0.076923, 0.187755, 7.254607
0.102564, 0.187755, 9.548934
0.128205, 0.187755, 11.745901
0.153846, 0.187755, 13.829614
0.179487, 0.187755, 15.787515
0.205128, 0.187755, 17.609994
0.230769, 0.187755, 19.289959
0.256410, 0.187755, 20.822400
0.282051, 0.187755, 22.203976
0.307692, 0.187755, 23.432643
0.333333, 0.187755, 24.507326
0.358974, 0.187755, 25.427639
0.384615, 0.187755, 26.193649
0.410256, 0.187755, 26.805685
0.435897, 0.187755, 27.264182
0.461538, 0.187755, 27.569568
0.487179, 0.187755, 27.722172
0.512821, 0.187755, 27.722172
0.538462, 0.187755, 27.569568
0.564103, 0.187755, 27.264182
0.589744, 0.187755, 26.805685
0.615385, 0.187755, 26.193649
0.641026, 0.187755, 25.427639
0.666667, 0.187755, 24.507326
0.692308, 0.187755, 23.432643
0.717949, 0.187755, 22.203976
0.743590, 0.187755, 20.822400
0.769231, 0.187755, 19.289959
0.794872, 0.187755, 17.609994
0.820513, 0.187755, 15.787515
0.846154, 0.187755, 13.829614
0.871795, 0.187755, 11.745901
0.897436, 0.187755, 9.548934
0.923077, 0.187755, 7.254607
0.948718, 0.187755, 4.882407
0.974359, 0.187755, 2.455432
1.000000, 0.187755, 0.000000
1.025641, 0.187755, 0.000000
1.051282, 0.187755, 1.422326
1.076923, 0.187755, 2.833043
1.102564, 0.187755, 4.220827
1.128205, 0.187755, 5.574883
1.153846, 0.187755, 6.885131
1.179487, 0.187755, 8.142330
1.205128, 0.187755, 9.338146
1.230769, 0.187755, 10.465176
1.256410, 0.187755, 11.516936
0.000000, 0.183673, 0.000000
0.025641, 0.183673, 1.422326
0.051282, 0.183673, 2.833043
0.076923, 0.183673, 4.220827
0.102564, 0.183673, 5.574883
0.128205, 0.183673, 6.885131
0.153846, 0.183673, 8.142330
0.179487, 0.183673, 9.338146
0.205128, 0.183673, 10.465176
0.230769, 0.183673, 11.516936
0.256410, 0.183673, 12.487818
0.282051, 0.183673, 13.373035
0.307692, 0.183673, 14.168551
0.333333, 0.183673, 14.871006
0.358974, 0.183673, 15.477646
0.384615, 0.183673, 15.986255
0.410256, 0.183673, 16.395086
0.435897, 0.183673, 16.702810
0.461538, 0.183673, 16.908473
0.487179, 0.183673, 17.011455
0.512821, 0.183673, 17.011455
0.538462, 0.183673, 16.908473
0.564103, 0.183673, 16.702810
0.589744, 0.183673, 16.395086
0.615385, 0.183673, 15.986255
0.641026, 0.183673, 15.477646
0.666667, 0.183673, 14.871006
0.692308, 0.183673, 14.168551
0.717949, 0.183673, 13.373035
0.743590, 0.183673, 12.487818
0.769231, 0.183673, 11.516936
0.794872, 0.183673, 10.465176
0.820513, 0.183673, 9.338146
0.846154, 0.183673, 8.142330
0.871795, 0.183673, 6.885131
0.897436, 0.183673, 5.574883
0.923077, 0.183673, 4.220827
0.948718, 0.183673, 2.833043
0.974359, 0.183673, 1.422326
1.000000, 0.183673, 0.000000
1.025641, 0.183673, 0.000000
1.051282, 0.183673, 0.847366
1.076923, 0.183673, 1.688709
1.102564, 0.183673, 2.518080
1.128205, 0.183673, 3.329678
1.153846, 0.183673, 4.117917
1.179487, 0.183673, 4.877473
1.205128, 0.183673, 5.603336
1.230769, 0.183673, 6.290838
1.256410, 0.183673, 6.935680
0.000000, 0.179592, 0.000000
0.025641, 0.179592, 0.847366
0.051282, 0.179592, 1.688709
0.076923, 0.179592, 2.518080
0.102564, 0.179592, 3.329678
0.128205, 0.179592, 4.117917
0.153846, 0.179592, 4.877473
0.179487, 0.179592, 5.603336
0.205128, 0.179592, 6.290838
0.230769, 0.179592, 6.935680
0.256410, 0.179592, 7.533945
0.282051, 0.179592, 8.082101
0.307692, 0.179592, 8.577007
0.333333, 0.179592, 9.015905
0.358974, 0.179592, 9.396415
0.384615, 0.179592, 9.716520
0.410256, 0.179592, 9.974562
0.435897, 0.179592, 10.169230
0.461538, 0.179592, 10.299546
0.487179, 0.179592, 10.364864
0.512821, 0.179592, 10.364864
0.538462, 0.179592, 10.299546
0.564103, 0.179592, 10.169230
0.589744, 0.179592, 9.974562
0.615385, 0.179592, 9.716520
0.641026, 0.179592, 9.396415
0.666667, 0.179592, 9.015905
0.692308, 0.179592, 8.577007
0.717949, 0.179592, 8.082101
0.743590, 0.179592, 7.533945
0.769231, 0.179592, 6.935680
0.794872, 0.179592, 6.290838
0.820513, 0.179592, 5.603336
0.846154, 0.179592, 4.877473
0.871795, 0.179592, 4.117917
0.897436, 0.179592, 3.329678
0.923077, 0.179592, 2.518080
0.948718, 0.179592, 1.688709
0.974359, 0.179592, 0.847366
1.000000, 0.179592, 0.000000
1.025641, 0.179592, 0.000000
1.051282, 0.179592, 0.510130
1.076923, 0.179592, 1.016828
1.102564, 0.179592, 1.516690
1.128205, 0.179592, 2.006374
1.153846, 0.179592, 2.482624
1.179487, 0.179592, 2.942297
1.205128, 0.179592, 3.382386
1.230769, 0.179592, 3.800043
1.256410, 0.179592, 4.192592
0.000000, 0.175510, 0.000000
0.025641, 0.175510, 0.510130
0.051282, 0.175510, 1.016828
0.076923, 0.175510, 1.516690
0.102564, 0.175510, 2.006374
0.128205, 0.175510, 2.482624
0.153846, 0.175510, 2.942297
0.179487, 0.175510, 3.382386
0.205128, 0.175510, 3.800043
0.230769, 0.175510, 4.192592
0.256410, 0.175510, 4.557549
0.282051, 0.175510, 4.892628
0.307692, 0.175510, 5.195759
0.333333, 0.175510, 5.465086
0.358974, 0.175510, 5.698980
0.384615, 0.175510, 5.896041
0.410256, 0.175510, 6.055097
0.435897, 0.175510, 6.175210
0.461538, 0.175510, 6.255677
0.487179, 0.175510, 6.296028
0.512821, 0.175510, 6.296028
0.538462, 0.175510, 6.255677
0.564103, 0.175510, 6.175210
0.589744, 0.175510, 6.055097
0.615385, 0.175510, 5.896041
0.641026, 0.175510, 5.698980
0.666667, 0.175510, 5.465086
0.692308, 0.175510, 5.195759
0.717949, 0.175510, 4.892628
0.743590, 0.175510, 4.557549
0.769231, 0.175510, 4.192592
0.794872, 0.175510, 3.800043
0.820513, 0.175510, 3.382386
0.846154, 0.175510, 2.942297
0.871795, 0.175510, 2.482624
0.897436, 0.175510, 2.006374
0.923077, 0.175510, 1.516690
0.948718, 0.175510, 1.016828
0.974359, 0.175510, 0.510130
1.000000, 0.175510, 0.000000
1.025641, 0.175510, 0.000000
1.051282, 0.175510, 0.308362
1.076923, 0.175510, 0.614695
1.102564, 0.175510, 0.916983
1.128205, 0.175510, 1.213241
1.153846, 0.175510, 1.501528
1.179487, 0.175510, 1.779960
1.205128, 0.175510, 2.046727
1.230769, 0.175510, 2.300097
1.256410, 0.175510, 2.538435
0.000000, 0.171429, 0.000000
0.025641, 0.171429, 0.308362
0.051282, 0.171429, 0.614695
0.076923, 0.171429, 0.916983
0.102564, 0.171429, 1.213241
0.128205, 0.171429, 1.501528
0.153846, 0.171429, 1.779960
0.179487, 0.171429, 2.046727
0.205128, 0.171429, 2.300097
0.230769, 0.171429, 2.538435
0.256410, 0.171429, 2.760210
0.282051, 0.171429, 2.964004
0.307692, 0.171429, 3.148520
0.333333, 0.171429, 3.312589
0.358974, 0.171429, 3.455175
0.384615, 0.171429, 3.575384
0.410256, 0.171429, 3.672462
0.435897, 0.171429, 3.745805
0.461538, 0.171429, 3.794954
0.487179, 0.171429, 3.819605
0.512821, 0.171429, 3.819605
0.538462, 0.171429, 3.794954
0.564103, 0.171429, 3.745805
0.589744, 0.171429, 3.672462
0.615385, 0.171429, 3.575384
0.641026, 0.171429, 3.455175
0.666667, 0.171429, 3.312589
0.692308, 0.171429, 3.148520
0.717949, 0.171429, 2.964004
0.743590, 0.171429, 2.760210
0.769231, 0.171429, 2.538435
0.794872, 0.171429, 2.300097
0.820513, 0.171429, 2.046727
0.846154, 0.171429, 1.779960
0.871795, 0.171429, 1.501528
0.897436, 0.171429, 1.213241
0.923077, 0.171429, 0.916983
0.948718, 0.171429, 0.614695
0.974359, 0.171429, 0.308362
1.000000, 0.171429, 0.000000
1.025641, 0.171429, 0.000000
1.051282, 0.171429, 0.186702
1.076923, 0.171429, 0.372185
1.102564, 0.171429, 0.555240
1.128205, 0.171429, 0.734675
1.153846, 0.171429, 0.909319
1.179487, 0.171429, 1.078038
1.205128, 0.171429, 1.239734
1.230769, 0.171429, 1.393361
1.256410, 0.171429, 1.537923
0.000000, 0.167347, 0.000000
0.025641, 0.167347, 0.186702
0.051282, 0.167347, 0.372185
0.076923, 0.167347, 0.555240
0.102564, 0.167347, 0.734675
0.128205, 0.167347, 0.909319
0.153846, 0.167347, 1.078038
0.179487, 0.167347, 1.239734
0.205128, 0.167347, 1.393361
0.230769, 0.167347, 1.537923
0.256410, 0.167347, 1.672485
0.282051, 0.167347, 1.796181
0.307692, 0.167347, 1.908215
0.333333, 0.167347, 2.007865
